team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
St. Louis Football Team,1,Dak Prescott,QB,Dal,QB,5.46,414.p.29369
St. Louis Football Team,1,Justin Herbert,QB,LAC,QB,23.26,414.p.32676
St. Louis Football Team,1,CeeDee Lamb,WR,Dal,WR,4.9,414.p.32687
St. Louis Football Team,1,DJ Moore,WR,Car,WR,8.0,414.p.30994
St. Louis Football Team,1,Saquon Barkley,RB,NYG,RB,33.4,414.p.30972
St. Louis Football Team,1,Rashaad Penny,RB,Sea,RB,8.7,414.p.30997
St. Louis Football Team,1,Dallas Goedert,TE,Phi,TE,9.0,414.p.31019
St. Louis Football Team,1,Dameon Pierce,RB,Hou,W/R/T,4.9,414.p.34063
St. Louis Football Team,1,Chris Olave,WR,NO,W/R/T,9.1,414.p.33966
St. Louis Football Team,1,J.K. Dobbins,RB,Bal,BN,0.0,414.p.32725
St. Louis Football Team,1,Allen Lazard,WR,GB,BN,0.0,414.p.31268
St. Louis Football Team,1,Jared Goff,QB,Det,BN,16.5,414.p.29235
St. Louis Football Team,1,Baker Mayfield,QB,Car,BN,19.0,414.p.30971
St. Louis Football Team,1,Albert Okwuegbunam,TE,Den,BN,8.3,414.p.32788
St. Louis Football Team,1,Alec Pierce,WR,Ind,BN,0.0,414.p.34008
St. Louis Football Team,1,Harrison Butker,K,KC,K,9.0,414.p.30346
St. Louis Football Team,1,San Francisco,DEF,SF,DEF,5.0,414.p.100025
St. Louis Football Team,1,Philadelphia,DEF,Phi,BN,5.0,414.p.100021
St. Louis Football Team,1,Brian Robinson Jr.,RB,Was,IR,0.0,414.p.34054
Running Up That Hill,1,Matthew Stafford,QB,LAR,QB,10.8,414.p.9265
Running Up That Hill,1,Justin Fields,QB,Chi,QB,14.64,414.p.33399
Running Up That Hill,1,Davante Adams,WR,LV,WR,30.1,414.p.27581
Running Up That Hill,1,Tyreek Hill,WR,Mia,WR,18.0,414.p.29399
Running Up That Hill,1,Alvin Kamara,RB,NO,RB,7.6,414.p.30180
Running Up That Hill,1,Chase Edmonds,RB,Mia,RB,10.5,414.p.31104
Running Up That Hill,1,T.J. Hockenson,TE,Det,TE,7.8,414.p.31840
Running Up That Hill,1,Terry McLaurin,WR,Was,W/R/T,13.8,414.p.31908
Running Up That Hill,1,Michael Thomas,WR,NO,W/R/T,22.7,414.p.29281
Running Up That Hill,1,Adam Thielen,WR,Min,BN,6.6,414.p.27277
Running Up That Hill,1,Michael Carter,RB,NYJ,BN,17.0,414.p.33495
Running Up That Hill,1,Mitch Trubisky,QB,Pit,BN,12.66,414.p.30115
